patent_id,founding_year,founding_score,VC_backed_assignee,VC_score,initassignee_id,initassignee_organization,same_as20220630pv,assignee_organization_20220630pv,assignee_id_20220630pv,initassignee_idxwalk20220630pv,Found in OC,company_number,gvkey,CUSIP,first_year_publicly_listed,UO_DISCERN,SUB_DISCERN,univ_hospital_gov,is_US_assignee,cpc_sections,grant_year,patent_abstract,topK_topics,topK_scores,super_topics,main_super_topic,top5_similarities,sim1,sim2,sim3,sim4,sim5,sim_mean,sim_variance,sim_std,sim_min,sim_max,topK_1,topK_2,topK_3,topK_4,topK_5,topK_mean,topK_variance,topK_std
10149886,2014.0,10.0,0.0,,OR0018992,RIPTIDE BIOSCIENCE INC,1,"RIPTIDE BIOSCIENCE, INC.",98649926-e72a-4169-922b-064bd602c71c,98649926-e72a-4169-922b-064bd602c71c,1.0,5490635,,,,0.0,0.0,0.0,1.0,A  C,2018.0,"Aspects of the present invention relate to peptides having anti-inflammatory activity, compositions containing one or more of the peptides, and use of the peptides to treat conditions associated with excessive inflammation in animals, particularly humans and other mammals.","[215, 407, 271, 104, 1553]","[0.8590381145477295, 0.7348673939704895, 0.7141856551170349, 0.6888131499290466, 0.6869628429412842]","[27, 27, 169, 27, 27]",27,"[0.74081576, 0.74081576, 0.60851586, 0.74081576, 0.74081576]",0.74081576,0.74081576,0.60851586,0.74081576,0.74081576,0.71435577,0.0035006527,0.059166316,0.60851586,0.74081576,0.8590381145477295,0.7348673939704895,0.7141856551170349,0.6888131499290466,0.6869628429412842,0.7367734313011169,0.0050609441706708,0.0711403132595775
8053213,1987.0,10.0,0.0,,OR0001089,ROCHE DIAGNOSTICS GMBH,0,"ROCHE DIAGNOSTICS OPERATIONS, INC.",fa47b024-1bb5-44d9-9aa2-46c1c222b1ca,,1.0,198706-883,,,,0.0,0.0,0.0,1.0,C,2011.0,"Disclosed is a method for analyzing nucleic acids in a sample comprising the following steps: (i) adding a DNA binding dye containing a benzothiazolium or benzoxazolium group to the sample to be analyzed, (ii) carrying out a polymerase chain reaction, (iii) applying the sample to a gel matrix, (iv) separating the nucleic acid molecules according to their size by applying a voltage and (v) excitation with light of a suitable wavelength for the optical visualization of the nucleic acid/DNA binding dye complexes.","[21, 1187, 849, 105, 1026]","[0.7479070425033569, 0.7337900400161743, 0.7311316728591919, 0.7279415726661682, 0.72437983751297]","[118, 118, 118, 118, 118]",118,"[0.7610687, 0.7610687, 0.7610687, 0.7610687, 0.7610687]",0.7610687,0.7610687,0.7610687,0.7610687,0.7610687,0.7610687,0.0,0.0,0.7610687,0.7610687,0.7479070425033569,0.7337900400161743,0.7311316728591919,0.7279415726661682,0.72437983751297,0.7330300331115722,8.155627604615747e-05,0.009030851346698
6420154,1981.0,10.0,1.0,10.0,OR0004342,ZYMOGENETICS INC,1,"ZYMOGENETICS, INC.",e7f986a4-10d1-46d1-8156-ec6bcd912e54,e7f986a4-10d1-46d1-8156-ec6bcd912e54,1.0,600421486,145228.0,98985T109,2002.0,1.0,0.0,0.0,1.0,C  A,2002.0,"The present invention relates to polynucleotide and polypeptide molecules, and variants thereof, for MAPP, a novel member of the Disintegrin Proteases. The polypeptides, and polynucleotides encoding them, are cell-cell interaction modulating and may be used for delivery and therapeutics. The present invention also includes antibodies to the MAPP polypeptides.","[390, 651, 806, 399, 409]","[0.6953828930854797, 0.688132643699646, 0.6761055588722229, 0.6755122542381287, 0.6599712371826172]","[62, 62, 62, 62, 6]",62,"[0.7212261, 0.7212261, 0.7212261, 0.7212261, 0.6732643]",0.7212261,0.7212261,0.7212261,0.7212261,0.6732643,0.71163374,0.0004600663,0.021449156,0.6732643,0.7212261,0.6953828930854797,0.688132643699646,0.6761055588722229,0.6755122542381287,0.6599712371826172,0.6790209174156189,0.0001836095383513,0.0135502597152729
9914960,,,0.0,,OR0014421,BOISE STATE UNIVERSITY,1,BOISE STATE UNIVERSITY,a5e6efa8-3239-438d-a8f3-8e21cdd29efb,a5e6efa8-3239-438d-a8f3-8e21cdd29efb,0.0,,,,,0.0,0.0,1.0,1.0,C,2018.0,"The present invention provides compositions and methods for colorimetric detection schemes for detecting a variety of biomolecules. The compositions and methods employ DNA hybridization chain reaction for catalytic aggregation of gold nanoparticles. In this catalytic aggregation scheme, a single target DNA strand triggers the formation of multiple inter-particle linkages in contrast to the single linkage formed in conventional direct aggregation schemes.","[1737, 221, 643, 1300, 1307]","[0.5947431921958923, 0.5487661361694336, 0.5460529327392578, 0.5449394583702087, 0.5373527407646179]","[166, 67, 118, 118, 101]",166,"[0.39399505, 0.4838548, 0.48711595, 0.48711595, 0.49494693]",0.39399505,0.4838548,0.48711595,0.48711595,0.49494693,0.46940574,0.0017938009,0.042353287,0.39399505,0.49494693,0.5947431921958923,0.5487661361694336,0.5460529327392578,0.5449394583702087,0.5373527407646179,0.554370892047882,0.0005272734422685,0.0229624354603032
7029526,1991.0,8.0,0.0,,OR0001333,CIBA SPECIALTY CHEMICALS CORP,1,CIBA SPECIALTY CHEMICALS CORPORATION,37a505f7-1d09-44bd-9088-919a73416c50,37a505f7-1d09-44bd-9088-919a73416c50,1.0,2251691,,,,0.0,0.0,0.0,1.0,C  G,2006.0,"The invention pertains to the field of green color filters and LCDs. It has been found that pigments with surprisingly improved coloristic, chemical and physical properties are obtained by salt-kneading a halogenated phthalocyanine pigment together with a yellow pigment of the disazo condensation, barbituric acid or azoquinolone series. The process takes place in the presence of an organic liquid and in the absence of binder or optionally in the presence of a relatively small amount of binder. Claimed are the process itself as well as the green pigment composition obtained by the process and compositions comprising it.","[82, 1274, 969, 349, 467]","[0.7136469483375549, 0.6937626600265503, 0.6430220007896423, 0.6310848593711853, 0.6063233017921448]","[70, 70, 70, 70, 70]",70,"[0.7015554, 0.7015554, 0.7015554, 0.7015554, 0.7015554]",0.7015554,0.7015554,0.7015554,0.7015554,0.7015554,0.7015554,0.0,0.0,0.7015554,0.7015554,0.7136469483375549,0.6937626600265503,0.6430220007896423,0.6310848593711853,0.6063233017921448,0.6575679540634155,0.0019984659465201,0.0447042050205588
10421987,1980.0,10.0,1.0,10.0,OR0002184,AMGEN INC,1,AMGEN INC.,59fba9b1-65b5-4536-85e9-53aaa6b83802,59fba9b1-65b5-4536-85e9-53aaa6b83802,0.0,,1602.0,031162100,1983.0,1.0,0.0,0.0,1.0,C,2019.0,The present invention relates to methods of upregulating the high mannose glycoform content of a recombinant protein during a mammalian cell culture by manipulating the mannose to total hexose ratio in the cell culture media formulation.,"[268, 2314, 1567, 235, 503]","[0.7410625219345093, 0.7390376329421997, 0.6958260536193848, 0.650961697101593, 0.6045734882354736]","[117, 117, 117, 76, 9]",117,"[0.64880306, 0.64880306, 0.64880306, 0.59244627, 0.45183858]",0.64880306,0.64880306,0.64880306,0.59244627,0.45183858,0.5981388,0.0072841896,0.085347466,0.45183858,0.64880306,0.7410625219345093,0.7390376329421997,0.6958260536193848,0.650961697101593,0.6045734882354736,0.6862922787666321,0.0034497388783456,0.0587344777651568
8182662,2001.0,10.0,0.0,,OR0054383,SPUTTERING COMPONENTS INC,1,"SPUTTERING COMPONENTS, INC.",93102e5b-da17-47ed-ba1b-40210a83f48f,93102e5b-da17-47ed-ba1b-40210a83f48f,1.0,C2337061,,,,0.0,0.0,0.0,1.0,C  H,2012.0,"A rotary cathode for a magnetron sputtering apparatus is disclosed. The rotary cathode comprises a rotatable target cylinder, and a non-rotatable interior structure in the target cylinder. The interior structure has an outer surface and an inner passageway. An outer passageway is defined between an inner surface of the target cylinder and the outer surface of the interior structure. An end cap is affixed at a distal end of the target cylinder. A rotating aperture is adjacent to an inner surface of the target cylinder at the distal end thereof, with the rotating aperture configured to direct a fluid toward the inner surface at the distal end. A fluid pathway is at least partially defined by the end cap, with the pathway providing fluid communication between the outer passageway and the inner passageway through the rotating aperture.","[839, 1003, 52, 1081, 381]","[0.5455603003501892, 0.5251923203468323, 0.5248898267745972, 0.5037469267845154, 0.5004475712776184]","[30, 61, 30, 61, 23]",30,"[0.47611034, 0.51151586, 0.47611034, 0.51151586, 0.42974836]",0.47611034,0.51151586,0.47611034,0.51151586,0.42974836,0.48100013,0.0011342459,0.03367857,0.42974836,0.51151586,0.5455603003501892,0.5251923203468323,0.5248898267745972,0.5037469267845154,0.5004475712776184,0.5199673891067504,0.0003376635227503,0.0183756230574741
10508031,1987.0,9.0,0.0,,OR0083048,INTERNATIONAL DIOXCIDE INC,1,"INTERNATIONAL DIOXCIDE, INC.",51fbd978-6877-44bb-9f31-e897827f7647,51fbd978-6877-44bb-9f31-e897827f7647,1.0,0100349213,4087.0,263534109,,0.0,1.0,0.0,1.0,C  B,2019.0,"Devices and methods for safely using acid/chlorite ClO2 generator chemistry for water treatment, whereby a valve prevents chemical draw unless there is both vacuum within the reaction chamber as well as suitable water volume in the flow chamber for dilution, are described. The float-dependent valve can also allow for direct venting from the reaction chamber to the flow chamber in the event of elevated pressure in the reaction chamber. This approach delivers an inherently safer ClO2 generator design for systems that utilize high strength reactor zones with ClO2 concentration above 3,000 ppm.","[670, 359, 261, 636, 1554]","[0.6742464303970337, 0.5002418756484985, 0.47099629044532776, 0.4658544361591339, 0.4582529067993164]","[20, 92, 68, 68, 68]",20,"[0.4080482, 0.28571135, 0.40715802, 0.40715802, 0.40715802]",0.4080482,0.28571135,0.40715802,0.40715802,0.40715802,0.38304672,0.0029608284,0.054413494,0.28571135,0.4080482,0.6742464303970337,0.5002418756484985,0.4709962904453277,0.4658544361591339,0.4582529067993164,0.5139183878898621,0.0082858059728308,0.0910264026139165
7374738,,,0.0,,OR0221210,ARIZONA BOARD OF REGENTS ACTING FOR AND BEHALF OF ARIZONA STATE UNIVERSITY,0,"ARIZONA BOARD OF REGENTS, A BODY CORPORATE OF THE STATE OF ARIZONA ACTING FOR AND ON BEHALF OF ARIZONA STATE UNIVERSITY",fdf89340-c1d4-49cd-9251-8ec6fb1d513d,,0.0,,,,,0.0,0.0,1.0,1.0,H  C,2008.0,"Novel superhard dielectric compounds useful as gate dielectrics discovered. Low temperature methods for making thin films of the compounds on substrate silicon are provided. The methods comprise the step of contacting a precursor having the formula H3X—O—XH3, wherein X is silicon or carbon with a compound comprising boron or nitrogen in a chemical vapor deposition (CVD) chamber or with one or more atomic elements in a molecular beam epitaxial deposition (MBE) chamber. These thin film constructs are useful as components of microelectronic devices, and specifically as gate dielectrics in CMOS devices.","[302, 95, 771, 492, 329]","[0.7179738283157349, 0.7101265788078308, 0.7094183564186096, 0.6701460480690002, 0.635455846786499]","[1, 116, 116, 116, 1]",1,"[0.59970224, 0.71147466, 0.71147466, 0.71147466, 0.59970224]",0.59970224,0.71147466,0.71147466,0.71147466,0.59970224,0.6667657,0.0037479221,0.061220277,0.59970224,0.71147466,0.7179738283157349,0.7101265788078308,0.7094183564186096,0.6701460480690002,0.635455846786499,0.688624131679535,0.0012311164500065,0.0350872690588274
8147787,,,0.0,,OR0017254,FLUOR TECHNOLOGIES CORPORATION,1,FLUOR TECHNOLOGIES CORPORATION,f19865f7-f0fe-4967-90d4-3bd0f2b86465,f19865f7-f0fe-4967-90d4-3bd0f2b86465,0.0,,,,,0.0,0.0,0.0,1.0,C  B  Y,2012.0,"Refinery off gases are treated in a plant in two processing steps, wherein the off gases are first scrubbed in a wash column using lean oils for removal of heavy mercaptans and C5+ hydrocarbons, and wherein a hydrotreater is then used for saturating olefinic hydrocarbons and reducing sulfurous compounds. Most preferably, lean recycle oil is used for temperature control of the hydrotreater reactor(s) in configurations where the lean oil from a hydrotreater reactor outlet separator is mixed with the reactor feed to so cool the hydrotreater reactor via evaporation.","[437, 252, 314, 1499, 13]","[0.6746711134910583, 0.6700478196144104, 0.6487622261047363, 0.6396639943122864, 0.6355851292610168]","[96, 158, 96, 158, 158]",96,"[0.67462677, 0.6828803, 0.67462677, 0.6828803, 0.6828803]",0.67462677,0.6828803,0.67462677,0.6828803,0.6828803,0.6795789,2.0436151e-05,0.004520636,0.67462677,0.6828803,0.6746711134910583,0.6700478196144104,0.6487622261047363,0.6396639943122864,0.6355851292610168,0.6537460565567017,0.0003141419524411,0.01772405011393
9139599,,,0.0,,OR0007434,UNIVERSITY OF SOUTH FLORIDA A FLORIDA NON PROFIT CORPORATION,0,UNIVERSITY OF SOUTH FLORIDA,0c267641-6afd-4a02-8497-9ae8a15a1962,c03291d8-c1dc-4146-9c5b-32af19c0e356,0.0,,,,,0.0,0.0,1.0,1.0,C,2015.0,"Embodiments of the present disclosure provide for chemical assemblies, multidimensional metal-organic frameworks (MOFs), supermolecular building layers (SBLs), inorganic molecular building blocks (MBBs), organic MBBs (designed ligands), methods of making each, and methods of using each, and the like. In an embodiment, the composition can be used in catalysis, separations, gas storage, and drug delivery.","[491, 168, 898, 1572, 496]","[0.7697842121124268, 0.5516212582588196, 0.5348369479179382, 0.5260090231895447, 0.5164586305618286]","[55, 55, 44, 55, 10]",55,"[0.5781239, 0.5781239, 0.42324513, 0.5781239, 0.3795356]",0.5781239,0.5781239,0.42324513,0.5781239,0.3795356,0.50743055,0.009609242,0.09802674,0.3795356,0.5781239,0.7697842121124268,0.5516212582588196,0.5348369479179382,0.5260090231895447,0.5164586305618286,0.5797420144081116,0.0114538249618778,0.1070225441758784
9238811,,,0.0,,OR0000956,NORTHEASTERN UNIVERSITY,1,NORTHWESTERN UNIVERSITY,8cdb1807-a96e-4dff-b0ec-d0a9aed96afb,8cdb1807-a96e-4dff-b0ec-d0a9aed96afb,0.0,,,,,0.0,0.0,1.0,1.0,A  C,2016.0,"siRNA-conjugated liposomes and micelles, methods of making such conjugates, and methods of using such conjugates, such as for the delivery of siRNA to cells to reduce expression of target polypeptides in such cells, are described.","[755, 1968, 2037, 963, 2169]","[0.7043346762657166, 0.6930744051933289, 0.6702171564102173, 0.6586918830871582, 0.6050474047660828]","[0, 18, 69, 0, 87]",0,"[0.55183876, 0.55544055, 0.4830405, 0.55183876, 0.5227247]",0.55183876,0.55544055,0.4830405,0.55183876,0.5227247,0.5329766,0.0009537263,0.03088246,0.4830405,0.55544055,0.7043346762657166,0.6930744051933289,0.6702171564102173,0.6586918830871582,0.6050474047660828,0.6662731051445008,0.0014971524339049,0.0386930540782833
6747129,,,0.0,,OR0000062,REGENTS OF UNIVERSITY OF CALIFORNIA,1,THE REGENTS OF THE UNIVERSITY OF CALIFORNIA,f7f0ae9c-2908-498a-a22a-932a29eccb26,c8a01179-91d0-432a-9919-27ff9e3059fb,0.0,,,,,0.0,0.0,1.0,1.0,C  A  Y,2004.0,"The present invention is directed to a protein isolated from S. aureus that is the target of RAP, called TRAP, which is characterized by a molecular weight of about 21 KDa, is capable of being phosphorylated by RAP, and comprises an amino acid sequence of SEQ ID NO:2. In addition, the present invention is directed towards an antibody immunoreactive with TRAP that is preferably a monoclonal antibody or a humanized antibody but may be a polyclonal antibody. The invention provides a method of treating S. aureus infection by administering such a TRAP-inhibiting agent. The invention also features methods for identifying compounds that inhibit TRAP activity and/or inhibit TRAP-RAP interaction.","[376, 517, 299, 1161, 975]","[0.6830722093582153, 0.572468101978302, 0.5724436044692993, 0.5704472661018372, 0.5539477467536926]","[2, 121, 4, 2, 31]",2,"[0.5576387, 0.49691764, 0.53422946, 0.5576387, 0.56751144]",0.5576387,0.49691764,0.53422946,0.5576387,0.56751144,0.5427872,0.0008074186,0.028415112,0.49691764,0.56751144,0.6830722093582153,0.572468101978302,0.5724436044692993,0.5704472661018372,0.5539477467536926,0.5904757857322693,0.0027397432834515,0.0523425570969889
